Time_ns,Dist_TYR136_A,Dist_TYR159_A
0.0,4.1379776,5.248994
0.050023820867079564,3.826963,4.214353
0.10004764173415913,3.551774,4.692064
0.1500714626012387,3.704526,4.341003
0.20009528346831826,3.8497553,4.510288
0.2501191043353978,4.556425,4.7535987
0.3001429252024774,4.7814045,4.166709
0.35016674606955694,4.4269614,4.561963
0.4001905669366365,3.9912093,4.223828
0.4502143878037161,4.549823,4.6842847
0.5002382086707956,4.1249986,4.5099382
0.5502620295378752,4.198882,4.5051594
0.6002858504049547,3.946927,4.510581
0.6503096712720343,4.0258746,4.5205083
0.7003334921391139,3.749034,4.356145
0.7503573130061935,4.0288453,4.088913
0.800381133873273,3.9935887,4.781703
0.8504049547403526,3.5428908,4.6193476
0.9004287756074322,4.0431824,4.4275084
0.9504525964745117,4.4446297,4.7967987
1.0004764173415912,3.6926618,4.160841
1.0505002382086708,3.784497,4.6460204
1.1005240590757503,3.6897988,4.5124545
1.15054787994283,4.880802,4.8235545
1.2005717008099095,4.182064,4.5363154
1.250595521676989,3.8217564,4.314037
1.3006193425440686,5.1450896,3.9427896
1.3506431634111482,4.7463145,4.5795283
1.4006669842782278,4.1075177,4.3364334
1.4506908051453073,4.2307935,4.0281296
1.500714626012387,3.8595474,4.2169614
1.5507384468794665,4.8992405,4.4974008
1.600762267746546,4.28736,4.414141
1.6507860886136256,4.789445,5.1563077
1.7008099094807052,4.406904,4.707885
1.7508337303477848,4.69668,3.9937544
1.8008575512148643,4.9355354,4.526881
1.850881372081944,4.527234,4.8142724
1.9009051929490235,5.444264,4.2208014
1.950929013816103,4.211088,4.0166893
2.0009528346831824,4.428661,4.5452805
2.050976655550262,4.7037687,4.729969
2.1010004764173416,4.863349,4.659644
2.151024297284421,4.3781056,5.3901987
2.2010481181515007,4.5644245,4.731423
2.2510719390185803,4.2196026,4.402481
2.30109575988566,4.8541827,4.1847277
2.3511195807527394,4.030072,4.82061
2.401143401619819,4.4423094,4.6317267
2.4511672224868986,4.835678,4.170447
2.501191043353978,3.9618812,4.4976444
2.5512148642210577,4.526427,4.368942
2.6012386850881373,4.2847414,3.8631954
2.651262505955217,3.9191594,4.2225285
2.7012863268222964,4.7801166,4.5402784
2.751310147689376,4.429592,4.4634447
2.8013339685564556,4.3628173,4.102965
2.851357789423535,4.1298738,4.8502464
2.9013816102906147,5.0917907,4.323973
2.9514054311576943,4.0372915,4.21482
3.001429252024774,4.35095,4.3974547
3.0514530728918534,4.0854626,4.502446
3.101476893758933,4.6522183,4.5652027
3.1515007146260126,3.8001614,3.9696193
3.201524535493092,4.4854155,4.067309
3.2515483563601717,4.202958,4.0330577
3.3015721772272513,3.8681183,4.603479
3.351595998094331,3.675107,4.590182
3.4016198189614104,4.1364374,4.2686505
3.45164363982849,4.252153,3.9131954
3.5016674606955696,4.1445827,4.254034
3.551691281562649,4.150754,3.9366345
3.6017151024297287,4.6194296,4.1521373
3.6517389232968083,3.8367267,4.484469
3.701762744163888,4.003598,4.499589
3.7517865650309674,4.5569797,4.3092566
3.801810385898047,4.4097486,4.092213
3.8518342067651266,4.311227,4.583599
3.901858027632206,4.2065783,4.4428368
3.9518818484992857,3.8797493,4.632973
4.001905669366365,3.6942053,4.712185
4.051929490233444,4.195867,4.1462173
4.101953311100524,4.042522,4.132752
4.1519771319676035,4.0310555,4.6757345
4.202000952834683,4.7000017,4.544221
4.252024773701763,4.819648,3.847169
4.302048594568842,4.467877,3.939967
4.352072415435922,3.8453696,4.7723317
4.402096236303001,4.526021,4.5162477
4.452120057170081,4.2060704,4.883416
4.5021438780371605,4.8159347,4.4990573
4.55216769890424,3.8831587,4.4621162
4.60219151977132,4.0290217,4.4768963
4.652215340638399,3.9147556,4.605009
4.702239161505479,3.8250945,4.2204266
4.752262982372558,4.3189692,4.740852
4.802286803239638,4.171868,4.964906
4.8523106241067175,4.119791,4.5904408
4.902334444973797,4.200707,4.446091
4.952358265840877,4.364395,5.223164
5.002382086707956,4.556231,4.8026667
5.052405907575036,3.9329166,4.3447347
5.102429728442115,3.8495638,5.158699
5.152453549309195,3.980632,4.7652273
5.2024773701762745,4.1053267,4.9936676
5.252501191043354,3.629211,4.7666864
5.302525011910434,4.445371,4.4516096
5.352548832777513,4.1639695,4.689251
5.402572653644593,3.6410851,4.311511
5.452596474511672,4.7920566,4.3763533
5.502620295378752,4.5650444,4.5914717
5.5526441162458315,4.3306046,4.3490825
5.602667937112911,4.7121687,4.7545996
5.652691757979991,4.290933,4.9170957
5.70271557884707,4.698065,4.8430243
5.75273939971415,4.5859547,4.404595
5.802763220581229,4.508673,5.1757483
5.852787041448309,4.0026317,4.716787
5.9028108623153885,4.4254074,5.176845
5.952834683182468,4.1761737,3.9921308
6.002858504049548,4.3923745,4.277736
6.052882324916627,3.958317,4.5883965
6.102906145783707,4.2965236,5.01877
6.152929966650786,4.4632215,5.1669283
6.202953787517866,3.9131582,4.044567
6.2529776083849455,3.7257438,4.459608
6.303001429252025,3.9526699,4.553389
6.353025250119105,4.0845137,4.7859855
6.403049070986184,4.3666515,3.98948
6.453072891853264,4.1948833,4.1540504
6.503096712720343,4.6053176,4.9100046
6.553120533587423,4.480357,4.85929
6.6031443544545025,4.72646,4.3813405
6.653168175321582,4.2994337,4.2597733
6.703191996188662,3.811822,4.7461514
6.753215817055741,3.9913268,5.075548
6.803239637922821,4.022909,4.7893167
6.8532634587899,4.0331917,4.6639066
6.90328727965698,4.1644464,4.7173924
6.9533111005240595,4.390729,4.1860704
7.003334921391139,3.755745,4.789239
7.053358742258219,3.883881,5.436675
7.103382563125298,3.8186474,4.680835
7.153406383992378,3.7780547,4.4751344
7.203430204859457,3.8518176,4.8662457
7.253454025726537,3.7062607,4.680032
7.3034778465936165,4.0049944,4.2339034
7.353501667460696,3.7627637,4.6607895
7.403525488327776,3.801836,5.0981927
7.453549309194855,4.001742,4.4992695
7.503573130061935,3.8990154,4.316961
7.553596950929014,4.015726,4.723582
7.603620771796094,3.962802,4.878739
7.6536445926631735,3.7701116,4.4820137
7.703668413530253,3.7914789,4.523026
7.753692234397333,4.2351475,4.6263423
7.803716055264412,3.9441662,4.889397
7.853739876131492,3.7351944,4.4796553
7.903763696998571,3.931274,4.442048
7.953787517865651,4.013283,4.4016323
8.00381133873273,4.290838,4.8746095
8.05383515959981,4.046479,4.8647394
8.103858980466889,3.5579226,4.4962792
8.15388280133397,3.7805166,4.2096305
8.203906622201048,3.7343965,4.634952
8.253930443068128,3.64565,4.349643
8.303954263935207,4.489888,4.2952747
8.353978084802288,3.494123,4.900665
8.404001905669366,3.9132583,4.6746483
8.454025726536447,3.657988,4.5197988
8.504049547403525,3.574773,4.061897
8.554073368270606,3.9801369,4.807043
8.604097189137685,4.3738027,4.731391
8.654121010004765,3.7379036,4.801619
8.704144830871844,3.9359255,4.5339985
8.754168651738924,3.8092735,4.287801
8.804192472606003,3.422216,4.540152
8.854216293473083,4.2929277,4.7812138
8.904240114340162,4.3372064,3.6436887
8.954263935207242,3.9595494,4.5741854
9.004287756074321,3.669047,4.321819
9.054311576941402,4.217853,4.285712
9.10433539780848,4.5919414,4.057464
9.15435921867556,4.840982,4.676972
9.20438303954264,4.601836,4.4136777
9.25440686040972,4.3620567,4.2054005
9.304430681276799,3.6928532,4.110715
9.354454502143879,4.2646832,4.8243895
9.404478323010958,4.8011856,4.666191
9.454502143878038,3.9414783,4.490198
9.504525964745117,4.5491934,4.797016
9.554549785612197,4.3125973,4.8285875
9.604573606479276,5.153086,4.5029097
9.654597427346356,4.5072765,4.159964
9.704621248213435,4.131687,4.767271
9.754645069080516,3.579391,4.536704
9.804668889947594,3.6875114,4.3033943
9.854692710814675,4.1781154,4.6703277
9.904716531681753,3.9029012,4.5444837
9.954740352548834,4.442889,4.2170506
10.004764173415913,4.0104685,5.0951242
10.054787994282993,4.2418127,4.496806
10.104811815150072,3.6392627,5.0905695
10.154835636017152,3.773859,4.3715086
10.20485945688423,3.9393737,4.489346
10.254883277751311,4.360097,4.8763685
10.30490709861839,3.8047993,4.422701
10.35493091948547,4.3863087,4.7301526
10.404954740352549,4.981192,4.4529505
10.45497856121963,4.5027514,4.1949267
10.505002382086708,4.0568447,5.039363
10.555026202953789,3.8530831,4.6626906
10.605050023820867,4.0834465,4.3367877
10.655073844687948,4.110362,4.6131244
10.705097665555027,4.568928,4.277571
10.755121486422107,4.6837654,4.447392
10.805145307289186,3.7992334,4.329824
10.855169128156266,3.539085,4.5162706
10.905192949023345,3.9245896,4.645533
10.955216769890425,4.29869,4.526539
11.005240590757504,4.3801017,4.6250243
11.055264411624584,4.2614927,4.9123282
11.105288232491663,4.1107593,4.302306
11.155312053358744,4.1394653,4.366643
11.205335874225822,4.857692,4.4004006
11.255359695092903,4.6527867,4.5958037
