Frame,RMSD_noFit_frame0
412,4.4942756
413,4.054288
414,4.900766
415,4.306971
416,4.3951564
417,4.0808887
418,4.6178117
419,4.2433987
420,3.8623192
421,3.740726
422,4.7360983
423,4.4257255
424,3.9766762
425,4.647616
426,4.6995597
427,4.196485
428,4.329332
429,4.7620816
430,4.8313723
431,4.5741425
432,4.9480133
433,4.8831396
434,5.400465
435,5.375551
436,5.3630085
437,5.0635166
438,5.216902
439,4.5111403
440,4.2492914
441,4.477782
442,4.4217997
443,4.8410873
444,4.705334
445,5.086501
446,5.352367
447,4.948659
448,4.7540975
449,4.806752
450,4.9614816
451,4.546922
452,4.841786
453,4.7786503
454,4.734763
455,4.755155
456,4.5054936
457,4.37186
458,4.7710795
459,4.689533
460,5.1108413
461,5.3431287
462,5.081266
463,4.4247894
464,5.3916936
465,4.80186
466,5.263085
467,4.420525
468,4.850966
469,5.1221747
470,5.5621924
471,4.957078
472,4.8132224
473,4.9486456
474,4.1880903
475,5.007803
476,4.7967553
477,4.936184
478,5.15409
479,4.4398675
480,4.070171
481,4.335507
482,5.4395504
483,5.4806886
484,5.233847
485,5.1334085
486,5.159437
487,5.0908327
488,4.5749664
489,4.6569376
490,4.249817
491,4.9476724
492,4.9145093
493,5.596221
494,5.8484454
495,5.7504244
496,6.003456
497,5.654112
498,5.6524663
499,5.3989606
500,5.30572
501,5.308803
502,5.8161254
503,5.2905555
504,5.688846
505,5.541308
506,5.58188
507,5.725149
508,6.0184045
509,6.3544493
510,5.6989007
511,5.65672
512,5.4974403
513,5.650711
514,5.8141255
515,5.380666
516,5.194775
517,5.038292
518,5.1986284
519,5.2368026
520,5.393517
521,5.0434275
522,5.4747334
523,5.839226
524,5.688755
525,5.596041
526,5.179761
527,5.2374544
528,5.487898
529,5.4856286
530,5.278992
531,5.386785
532,5.314237
533,5.345353
534,5.4607115
535,4.810108
536,4.7338233
537,5.216
538,4.7494755
539,5.0153503
540,5.3849506
541,5.513249
542,5.5608115
543,5.216265
544,5.6678967
545,6.029897
546,5.211888
547,5.7357054
548,5.4899335
549,5.990326
550,5.827469
551,4.9853053
552,4.295163
553,3.9066536
554,5.1190705
555,4.98547
556,4.542035
557,4.7453566
558,4.280886
559,5.059074
560,5.1325603
561,5.8258605
562,4.768374
563,4.2744327
564,4.050492
565,3.8741012
566,4.020862
567,4.225453
568,4.170043
569,3.890288
570,4.4227433
571,4.308442
572,4.407085
573,3.7960856
574,3.456644
575,4.0782075
576,4.0876
577,4.1761327
578,4.308805
579,4.766517
580,4.327126
581,4.237383
582,3.9460826
583,3.8805168
584,4.510145
585,4.79953
586,4.1951447
587,4.514631
588,4.829272
589,4.9240065
590,4.1423483
591,4.9994307
592,4.3900805
593,4.613569
594,4.0599303
595,4.1329837
596,4.1607156
597,4.7111225
598,3.9740539
599,4.3795295
600,4.466675
601,4.747658
602,4.2206125
603,4.3037286
604,4.3413005
605,4.0348377
606,4.385539
607,4.5625205
608,5.0827155
609,4.297243
610,4.9399543
611,5.696069
612,5.700225
613,6.123781
614,6.441632
615,4.6232605
616,5.1997275
617,5.4004564
618,5.5401525
619,4.9812174
620,4.841701
621,4.784802
622,4.674736
623,4.6786795
624,4.437633
625,4.4218955
626,4.0550036
627,3.9017622
628,4.5295935
629,4.6177397
630,4.5939174
631,4.337895
632,4.3397646
633,4.667664
634,4.838325
635,4.165161
636,4.333611
637,5.337391
638,4.445356
639,4.6976194
640,4.5104628
641,4.5852013
642,5.152815
643,4.9711175
644,4.7383904
645,4.8864613
646,4.4940047
647,5.186493
648,5.1730294
649,5.2329426
650,5.0431514
651,4.6723886
652,4.868744
653,4.0128694
654,5.203246
655,5.171168
656,5.39325
657,5.0180306
658,4.783891
659,5.042414
660,5.014615
661,4.608993
662,4.5384765
663,5.2766194
664,4.8777013
665,4.994388
666,5.134651
667,4.936301
668,5.0897975
669,4.974977
670,4.4824176
671,4.066458
672,3.6293242
673,3.8550594
674,4.656424
675,4.9245243
676,4.9340205
677,4.113164
678,3.8497312
679,4.348459
680,4.8558407
681,4.445724
682,3.1448753
683,4.335825
684,3.7553914
685,4.0142517
686,4.486682
687,4.3619013
688,3.997861
